,MI 540 dissipation factor measurement,,,,
time (UTC),tan delta,test object RMS voltage (V),test object current (I),input frequency (Hz),test object capacitance (F)
04-DEC-2019 15:30:28.1,0.00617251,1992.83,5.69376e-05,250,1.81893e-11
04-DEC-2019 15:30:28.4,0.00617343,1992.94,5.69377e-05,250,1.81893e-11
04-DEC-2019 15:30:28.7,0.00617583,1992.77,5.69376e-05,250,1.81893e-11
04-DEC-2019 15:30:32.6,0.00615097,1994.65,7.96965e-05,350,1.81691e-11
04-DEC-2019 15:30:32.9,0.00615073,1994.66,7.96962e-05,350,1.81691e-11
04-DEC-2019 15:30:33.2,0.00615079,1994.61,7.96956e-05,350,1.81689e-11
04-DEC-2019 15:30:33.5,0.00614978,1994.65,7.96959e-05,350,1.81691e-11
04-DEC-2019 15:30:33.8,0.00615109,1994.61,7.96956e-05,350,1.81691e-11
04-DEC-2019 15:30:34.1,0.00615003,1994.61,7.96954e-05,350,1.81691e-11
04-DEC-2019 15:30:34.4,0.00614995,1994.63,7.9696e-05,350,1.81693e-11
04-DEC-2019 15:30:34.7,0.00614886,1994.61,7.96962e-05,350,1.81693e-11
04-DEC-2019 15:30:35.0,0.0061476,1994.64,7.9696e-05,350,1.81693e-11
04-DEC-2019 15:30:35.3,0.0061455,1994.58,7.9696e-05,350,1.81693e-11
04-DEC-2019 15:30:35.6,0.00614636,1994.59,7.96959e-05,350,1.81693e-11
04-DEC-2019 15:30:35.9,0.00614587,1994.64,7.96957e-05,350,1.81693e-11
04-DEC-2019 15:30:36.2,0.00614564,1994.57,7.96962e-05,350,1.81694e-11
04-DEC-2019 15:30:39.8,0.00611225,1997.74,0.000102519,450,1.81508e-11
04-DEC-2019 15:30:40.1,0.00611217,1997.48,0.000102519,450,1.81508e-11
04-DEC-2019 15:30:40.4,0.00611214,1997.6,0.000102519,450,1.81508e-11
04-DEC-2019 15:30:40.7,0.00611288,1997.74,0.000102518,450,1.81508e-11
04-DEC-2019 15:30:41.0,0.00611306,1997.53,0.000102518,450,1.81508e-11
04-DEC-2019 15:30:41.3,0.00611308,1997.65,0.000102518,450,1.81509e-11
04-DEC-2019 15:30:41.6,0.00611412,1997.56,0.000102518,450,1.81508e-11
04-DEC-2019 15:30:41.9,0.00611371,1997.58,0.000102519,450,1.81509e-11
04-DEC-2019 15:30:42.2,0.00611272,1997.66,0.000102518,450,1.81507e-11
04-DEC-2019 15:30:42.5,0.00611223,1997.66,0.000102518,450,1.81509e-11
04-DEC-2019 15:30:42.8,0.00611206,1997.73,0.000102518,450,1.81508e-11
04-DEC-2019 15:30:43.1,0.00611139,1997.69,0.000102518,450,1.81508e-11
04-DEC-2019 15:30:43.4,0.00611143,1997.61,0.000102518,450,1.81509e-11
04-DEC-2019 15:30:43.7,0.00611115,1997.59,0.000102517,450,1.81509e-11
04-DEC-2019 15:30:44.0,0.006112,1997.72,0.000102517,450,1.81509e-11
04-DEC-2019 15:30:44.3,0.00611252,1997.63,0.000102516,450,1.81508e-11
04-DEC-2019 15:30:44.6,0.00611286,1997.65,0.000102517,450,1.81509e-11
04-DEC-2019 15:30:44.9,0.00611303,1997.63,0.000102517,450,1.81509e-11
04-DEC-2019 15:30:45.2,0.00611365,1997.58,0.000102516,450,1.81509e-11
04-DEC-2019 15:30:45.5,0.00611287,1997.73,0.000102516,450,1.81507e-11
04-DEC-2019 15:30:53.6,0.00609366,2002.16,0.000125468,550,1.81343e-11
04-DEC-2019 15:30:53.9,0.0060938,2002.15,0.000125468,550,1.81344e-11
04-DEC-2019 15:30:54.2,0.00609375,2002.17,0.000125467,550,1.81343e-11
04-DEC-2019 15:30:54.5,0.00609305,2002.21,0.000125467,550,1.81343e-11
04-DEC-2019 15:30:54.8,0.00609214,2002.02,0.000125467,550,1.81343e-11
04-DEC-2019 15:30:55.1,0.00609231,2002.15,0.000125466,550,1.81343e-11
04-DEC-2019 15:30:55.4,0.00609224,2002.17,0.000125466,550,1.81343e-11
04-DEC-2019 15:30:55.7,0.00609143,2002.12,0.000125467,550,1.81344e-11
04-DEC-2019 15:30:56.0,0.0060919,2002.07,0.000125466,550,1.81344e-11
04-DEC-2019 15:31:0.8,0.0059493,2043.95,0.000243909,1050,1.80881e-11
04-DEC-2019 15:31:1.1,0.0059493,2044,0.000243907,1050,1.80881e-11
04-DEC-2019 15:31:1.4,0.00594952,2044.04,0.000243907,1050,1.80881e-11
04-DEC-2019 15:31:1.7,0.0059495,2043.95,0.000243906,1050,1.80881e-11
04-DEC-2019 15:31:2.0,0.00594958,2044.06,0.000243906,1050,1.80881e-11
04-DEC-2019 15:31:2.3,0.00594921,2044,0.000243906,1050,1.80881e-11
04-DEC-2019 15:31:2.6,0.00594945,2043.98,0.000243906,1050,1.8088e-11
04-DEC-2019 15:31:2.9,0.00594937,2043.92,0.000243905,1050,1.80881e-11
04-DEC-2019 15:31:3.2,0.00594931,2043.99,0.000243905,1050,1.80881e-11
04-DEC-2019 15:31:3.5,0.00594914,2043.9,0.000243907,1050,1.80881e-11
04-DEC-2019 15:31:3.8,0.0059491,2043.93,0.000243905,1050,1.80882e-11
04-DEC-2019 15:31:8.0,0.00586947,2121.07,0.000373104,1550,1.80636e-11
04-DEC-2019 15:31:8.3,0.00586951,2120.94,0.000373103,1550,1.80637e-11
